Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
9/20/07,273.77377,278.67868,273.28830,276.69168,11038950,0,0
9/21/07,278.44846,280.67569,276.69168,280.33032,16007377,0,0
9/24/07,280.78079,286.01602,280.28027,284.29428,10583406,0,0
9/25/07,282.28229,285.06506,281.71170,284.78479,5455739,0,0
9/26/07,285.48547,286.18118,282.18719,284.36435,6685508,0,0
9/27/07,286.15115,286.15616,283.17319,284.03403,4108487,0,0
9/28/07,283.78378,285.06006,282.34235,283.91891,5273721,0,0
10/1/07,285.27026,292.46747,285.09009,291.56656,9413177,0,0
10/2/07,291.98199,298.70370,290.29529,292.48749,14120865,0,0
10/3/07,293.41843,294.78979,290.47046,292.30231,7751241,0,0
10/4/07,292.83783,292.83783,288.81882,289.80481,5967427,0,0
10/5/07,293.84885,298.29831,293.79880,297.32233,10127263,0,0
10/8/07,297.79779,305.43542,297.27228,305.11511,10045944,0,0
10/9/07,307.86285,312.20221,304.49951,307.89789,17518064,0,0
10/10/07,310.99100,313.15317,308.70871,313.00800,10760429,0,0
10/11/07,317.13715,321.02603,304.80481,311.31131,23574402,0,0
10/12/07,312.30231,319.51953,309.42944,319.01401,13633753,0,0
10/15/07,319.55457,320.25024,308.08307,310.36536,13873712,0,0
10/16/07,309.55457,313.27328,306.30130,308.30832,12038549,0,0
10/17/07,315.54053,317.31732,311.10611,317.05707,12048939,0,0
10/18/07,318.02301,321.00601,314.56458,320.13013,24553822,0,0
10/19/07,327.60760,329.57458,321.93695,322.67767,31546422,0,0
10/22/07,319.65466,327.82782,318.45847,325.70071,13315471,0,0
10/23/07,330.95596,339.13913,330.33032,338.22324,13573813,0,0
10/24/07,336.69168,339.07407,330.11011,338.24826,14793592,0,0
10/25/07,339.67969,339.82483,332.10712,334.58960,11579409,0,0
10/26/07,337.35236,338.60861,334.36435,337.63763,6701092,0,0
10/29/07,339.22421,340.34033,336.38138,339.95496,6126467,0,0
10/30/07,339.09409,350.30530,339.09409,347.73273,13787399,0,0
10/31/07,350.69571,353.85385,348.36838,353.85385,13739846,0,0
11/1/07,351.74673,357.21722,351.24124,351.95697,13041346,0,0
11/2/07,355.61063,357.14716,349.01901,355.98099,11671317,0,0
11/5/07,353.84885,365.48047,353.38840,363.18820,17749633,0,0
11/6/07,369.14914,371.26627,362.86285,371.26627,16855727,0,0
11/7/07,370.93594,373.99399,361.93195,366.83682,16530453,0,0
11/8/07,367.66766,367.81281,338.92892,347.26727,32991376,0,0
11/9/07,338.22824,341.28128,330.93594,332.31732,22753424,0,0
11/12/07,329.19919,335.30029,313.41843,316.35135,20434145,0,0
11/13/07,322.81781,330.79080,316.35135,330.60559,16873909,0,0
11/14/07,336.97699,338.08307,318.45346,321.16116,16173211,0,0
11/15/07,319.60461,324.07407,312.31232,315.14014,13921465,0,0
11/16/07,317.28729,318.06305,308.31833,317.13214,18067514,0,0
11/19/07,315.11011,318.70370,309.55957,313.23825,11043745,0,0
11/20/07,318.55856,329.87988,316.75174,324.59460,19661519,0,0
11/21/07,322.20721,335.32031,321.36136,330.59058,14012973,0,0
11/23/07,335.33533,339.47949,334.38937,338.68869,5471923,0,0
11/26/07,340.44043,347.04706,332.83282,333.33334,13566620,0,0
11/27/07,337.73773,338.55356,325.45544,337.12213,17791191,0,0
11/28/07,341.39639,347.49750,336.40640,346.47647,15817167,0,0
11/29/07,345.72073,351.74673,344.22922,348.84885,12403584,0,0
11/30/07,355.85587,355.88589,341.39639,346.84683,15775209,0,0
12/3/07,345.85086,347.84784,340.91092,341.10611,8641550,0,0
12/4/07,339.49451,346.34634,338.89890,342.42242,8455136,0,0
12/5/07,346.71170,349.81482,344.09409,349.60461,8410781,0,0
12/6/07,349.24924,358.63864,348.85385,357.98798,9808182,0,0
12/7/07,357.85284,359.35934,355.60559,357.79279,7696496,0,0
12/10/07,358.35336,362.76276,357.35736,359.56958,7704688,0,0
12/11/07,360.33032,360.85587,349.73975,349.94995,12265922,0,0
12/12/07,357.35736,357.51752,344.59460,350.02502,12305882,0,0
12/13/07,348.50351,349.15915,340.94595,347.37238,10071518,0,0
12/14/07,344.09909,350.20020,343.97397,345.32532,7339653,0,0
12/17/07,344.34433,348.05804,332.16718,334.94995,10961028,0,0
12/18/07,337.41742,338.69370,326.57657,337.01202,14319067,0,0
